Date_Time, TimeSinceLoad(s), PPID, TimeStamp_Pupil,NormalPos_X,NormalPos_Y,NormalPos_Z,OriginalPos_X,OriginalPos_Y,OriginalPos_Z,Left_Openess,Right_Openess,Left_Dia,Right_Dia,GazeNormal_Left_X,GazeNormal_Left_Y,GazeNormal_Left_Z,GazeNormal_Right_X,GazeNormal_Right_Y,GazeNormal_Right_Z,EyeCenter_Left_X,EyeCenter_Left_Y,EyeCenter_Left_Z,EyeCenter_Right_X,EyeCenter_Right_Y,EyeCenter_Right_Z, environment,cart_status
0:5/8/2021 22:23:20.558,1410.272,pilot01,4033239,-1,-1,-1,-1,-1,-1,0.369342089,0.247851267,-1,-1,0,0,0,0,0,0,32.35832214,4.109512329,-40.66636658,-26.73529053,0.411178589,-25.72848511, HorrorEnvironment,FALSE
0:5/8/2021 22:23:20.590,1410.304,pilot01,4033273,-1,-1,-1,-1,-1,-1,0.614020526,0.544412911,-1,-1,0,0,0,0,0,0,32.82919312,2.117935181,-32.95982361,-27.23570251,1.653778076,-30.46875, HorrorEnvironment,FALSE
0:5/8/2021 22:23:20.607,1410.321,pilot01,4033289,-1,-1,-1,-1,-1,-1,0.687917054,0.632570744,-1,-1,0,0,0,0,0,0,32.82579041,2.067367554,-32.88369751,-27.24440002,1.61378479,-30.271698, HorrorEnvironment,FALSE
0:5/8/2021 22:23:20.623,1410.337,pilot01,4033306,-1,-1,-1,-1,-1,-1,0.747690499,0.687915385,-1,-1,0,0,0,0,0,0,32.8188324,1.968795776,-32.61314392,-27.23822021,1.62437439,-30.45361328, HorrorEnvironment,FALSE
0:5/8/2021 22:23:20.639,1410.353,pilot01,4033323,0.12046814,-0.112213135,0.986343384,-27.2328949,1.527297974,-30.0471344,0.805210352,0.766878724,-1,4.515655518,0,0,0,0.12046814,-0.112213135,0.986343384,32.81573486,1.895126343,-32.41816711,-27.2328949,1.527297974,-30.0471344, HorrorEnvironment,FALSE
0:5/8/2021 22:23:20.654,1410.368,pilot01,4033339,0.120956421,-0.10484314,0.987091064,-24.12741089,1.495574951,-30.10227966,0.843667448,0.776513398,3.986724854,4.571182251,0.057937622,-0.072555542,0.995666504,0.124359131,-0.106582642,0.986480713,32.82362366,1.845581055,-32.33039856,-27.21859741,1.476577759,-29.9813385, HorrorEnvironment,FALSE
0:5/8/2021 22:23:20.670,1410.384,pilot01,4033356,0.114120483,-0.116394043,0.986618042,-21.33572388,1.461456299,-30.05230713,0.886764646,0.796289563,4.16645813,4.373626709,0.074813843,-0.084701538,0.993591309,0.118377686,-0.119827271,0.985702515,32.80535889,1.719726563,-31.89280701,-27.21531677,1.433410645,-29.85244751, HorrorEnvironment,FALSE
0:5/8/2021 22:23:20.685,1410.399,pilot01,4033373,0.112121582,-0.107452393,0.987854004,-17.88494873,1.468978882,-30.15151978,0.907890081,0.815772235,4.334106445,4.471115112,0.067581177,-0.078704834,0.994598389,0.120285034,-0.112701416,0.986312866,32.81954956,1.676452637,-31.82241821,-27.21531677,1.430786133,-29.84403992, HorrorEnvironment,FALSE
0:5/8/2021 22:23:20.699,1410.413,pilot01,4033381,0.119049072,-0.110366821,0.986724854,-23.95922852,1.436981201,-29.93537903,0.907890081,0.815772235,4.208343506,4.454956055,0.063858032,-0.07119751,0.995407104,0.122192383,-0.112594604,0.986083984,32.81967163,1.682739258,-31.84881592,-27.2147522,1.42288208,-29.82566833, HorrorEnvironment,FALSE
0:5/8/2021 22:23:20.713,1410.427,pilot01,4033398,0.127471924,-0.110977173,0.985610962,-26.3263855,1.415878296,-29.8318634,0.929923356,0.840157628,4.236572266,4.456436157,0.066558838,-0.077651978,0.994750977,0.128387451,-0.111465454,0.985427856,32.81906128,1.728378296,-32.04200745,-27.2146759,1.411193848,-29.79867554, HorrorEnvironment,FALSE
0:5/8/2021 22:23:20.727,1410.441,pilot01,4033414,0.127655029,-0.109024048,0.985794067,-26.32644653,1.410644531,-29.82164001,0.96492511,0.869945049,4.08605957,4.494277954,0.058883667,-0.061950684,0.996337891,0.128677368,-0.109725952,0.985595703,32.82475281,1.801422119,-32.28991699,-27.21444702,1.404769897,-29.78459167, HorrorEnvironment,FALSE
0:5/8/2021 22:23:20.742,1410.456,pilot01,4033423,0.123916626,-0.10836792,0.986343384,-26.362854,1.40802002,-29.8144989,0.986457765,0.897634864,4.241104126,4.513717651,0.06111145,-0.068832397,0.995742798,0.124801636,-0.108932495,0.986175537,32.82859802,1.816177368,-32.27442932,-27.21418762,1.402145386,-29.77911377, HorrorEnvironment,FALSE
0:5/8/2021 22:23:20.759,1410.473,pilot01,4033439,0.126327515,-0.101196289,0.986801147,-24.5670166,1.418060303,-29.88470459,0.983289897,0.894572318,4.28163147,4.539459229,0.063735962,-0.079040527,0.994827271,0.129211426,-0.102203369,0.986328125,32.83349609,1.784286499,-32.17721558,-27.21279907,1.401168823,-29.77902222, HorrorEnvironment,FALSE
0:5/8/2021 22:23:20.781,1410.495,pilot01,4033464,0.08757019,-0.102828979,0.990829468,-13.5615387,1.428726196,-30.37284851,0.990928769,0.913634241,4.404891968,4.589309692,0.037460327,-0.097045898,0.994567871,0.102401733,-0.104507446,0.989227295,32.73129272,1.792831421,-32.35105896,-27.30632019,1.320617676,-29.7855072, HorrorEnvironment,FALSE
0:5/8/2021 22:23:20.803,1410.517,pilot01,4033489,0.075180054,-0.110778809,0.990982056,-9.31552124,1.405181885,-30.5544281,0.966127336,0.895372689,4.391571045,4.584640503,0.033172607,-0.100784302,0.994338989,0.093261719,-0.115036011,0.988967896,32.63961792,1.721725464,-32.33776855,-27.41047668,1.268661499,-29.78529358, HorrorEnvironment,FALSE
0:5/8/2021 22:23:20.826,1410.54,pilot01,4033506,0.069946289,-0.108093262,0.991668701,-6.833007813,1.417617798,-30.64334106,0.966180384,0.886894345,4.350540161,4.612838745,0.030670166,-0.095657349,0.994934082,0.090377808,-0.114501953,0.98928833,32.64936829,1.709777832,-32.30871582,-27.41253662,1.265335083,-29.77529907, HorrorEnvironment,FALSE
0:5/8/2021 22:23:20.848,1410.562,pilot01,4033531,0.062301636,-0.104522705,0.992553711,0.176452637,1.460189819,-30.91012573,0.977283955,0.894011736,4.342132568,4.620742798,0.030975342,-0.094863892,0.994995117,0.088867188,-0.112640381,0.989639282,32.6505127,1.699905396,-32.2796936,-27.41505432,1.256515503,-29.74649048, HorrorEnvironment,FALSE
0:5/8/2021 22:23:20.870,1410.584,pilot01,4033556,0.056869507,-0.104034424,0.992935181,3.332229614,1.485977173,-31.04936218,0.973347187,0.909165025,4.366577148,4.611053467,0.030670166,-0.097229004,0.994781494,0.084320068,-0.111068726,0.990219116,32.65155029,1.712387085,-32.31832886,-27.41767883,1.248535156,-29.71846008, HorrorEnvironment,FALSE
0:5/8/2021 22:23:20.893,1410.607,pilot01,4033581,0.053665161,-0.10194397,0.993331909,4.054077148,1.494049072,-31.08648682,1,1,4.345504761,4.60168457,0.031784058,-0.093505859,0.995101929,0.077697754,-0.111175537,0.990753174,32.65228271,1.718551636,-32.33531189,-27.41925049,1.24697876,-29.71211243, HorrorEnvironment,FALSE
0:5/8/2021 22:23:20.914,1410.628,pilot01,4033598,0.056472778,-0.102554321,0.993118286,1.038497925,1.470245361,-30.9516449,0.992895067,0.947499812,4.354995728,4.612640381,0.031799316,-0.092437744,0.99520874,0.078659058,-0.111602783,0.990631104,32.65452576,1.719207764,-32.33932495,-27.42079163,1.246124268,-29.70251465, HorrorEnvironment,FALSE
0:5/8/2021 22:23:20.937,1410.651,pilot01,4033623,0.054351807,-0.101913452,0.993301392,1.719009399,1.474243164,-30.99240112,0.998389065,0.940272093,4.36656189,4.614105225,0.03086853,-0.090927124,0.995376587,0.076446533,-0.112182617,0.990737915,32.66162109,1.720153809,-32.38293457,-27.42282104,1.242630005,-29.68280029, HorrorEnvironment,FALSE
0:5/8/2021 22:23:20.960,1410.674,pilot01,4033648,0.135391235,-0.125686646,0.982772827,-24.20391846,1.215408325,-29.66424561,1,1,4.29447937,4.712661743,0.100952148,-0.091781616,0.990646362,0.137115479,-0.127365112,0.982330322,32.97305298,1.486984253,-31.81799316,-27.06057739,1.201843262,-29.55664063, HorrorEnvironment,FALSE
0:5/8/2021 22:23:20.981,1410.695,pilot01,4033664,0.184707642,-0.129898071,0.97416687,-24.92631531,1.259140015,-29.83843994,0.988224745,0.920776784,4.326095581,4.698913574,0.146362305,-0.105636597,0.983566284,0.18586731,-0.130645752,0.973846436,33.26307678,1.735626221,-32.80903625,-26.71009827,1.244537354,-29.74739075, HorrorEnvironment,FALSE
0:5/8/2021 22:23:21.003,1410.717,pilot01,4033689,0.180831909,-0.130722046,0.974777222,-26.49197388,1.138504028,-29.34428406,0.964656115,0.921398222,4.301925659,4.619995117,0.144180298,-0.107284546,0.983703613,0.180969238,-0.130813599,0.974746704,33.26734924,1.707336426,-32.74859619,-26.7175293,1.136352539,-29.3314209, HorrorEnvironment,FALSE
0:5/8/2021 22:23:21.026,1410.74,pilot01,4033714,0.179000854,-0.132522583,0.974868774,-26.57034302,1.195327759,-29.51217651,0.983868062,0.931737304,4.290817261,4.674667358,0.142822266,-0.098358154,0.984832764,0.179107666,-0.132629395,0.974838257,33.26994324,1.65663147,-32.57032776,-26.73825073,1.194030762,-29.50360107, HorrorEnvironment,FALSE
0:5/8/2021 22:23:21.048,1410.762,pilot01,4033731,0.167114258,-0.121032715,0.978469849,-10.7989502,1.299118042,-30.28379822,0.983161032,0.947371662,4.291900635,4.676513672,0.142959595,-0.098937988,0.98475647,0.175796509,-0.128997803,0.975921631,33.26994324,1.649414063,-32.5340271,-26.73536682,1.172439575,-29.47006226, HorrorEnvironment,FALSE
0:5/8/2021 22:23:21.073,1410.787,pilot01,4033756,0.170227051,-0.118209839,0.978271484,-15.55819702,1.24005127,-30.00839233,1,1,4.250411987,4.668716431,0.142120361,-0.091110229,0.985641479,0.176620483,-0.124389648,0.976379395,33.26853943,1.625549316,-32.47164917,-26.74072266,1.151763916,-29.44424438, HorrorEnvironment,FALSE
0:5/8/2021 22:23:21.093,1410.807,pilot01,4033781,0.160171509,-0.110229492,0.980911255,-2.012969971,1.346206665,-30.68821716,1,1,4.235626221,4.6534729,0.141326904,-0.090087891,0.985839844,0.173309326,-0.124282837,0.976989746,33.26994324,1.626113892,-32.47497559,-26.7414856,1.150024414,-29.4359436, HorrorEnvironment,FALSE
0:5/8/2021 22:23:21.115,1410.829,pilot01,4033798,0.157897949,-0.109100342,0.981399536,0.938369751,1.379440308,-30.85977173,1,1,4.233291626,4.663330078,0.141662598,-0.0912323,0.985687256,0.171722412,-0.124343872,0.977264404,33.27149963,1.649414063,-32.5340271,-26.74217224,1.14831543,-29.42643738, HorrorEnvironment,FALSE
