Date_Time, TimeSinceLoad(s), PPID, TimeStamp_Pupil,NormalPos_X,NormalPos_Y,NormalPos_Z,OriginalPos_X,OriginalPos_Y,OriginalPos_Z,Left_Openess,Right_Openess,Left_Dia,Right_Dia,GazeNormal_Left_X,GazeNormal_Left_Y,GazeNormal_Left_Z,GazeNormal_Right_X,GazeNormal_Right_Y,GazeNormal_Right_Z,EyeCenter_Left_X,EyeCenter_Left_Y,EyeCenter_Left_Z,EyeCenter_Right_X,EyeCenter_Right_Y,EyeCenter_Right_Z, environment,cart_status
0:5/8/2021 22:11:21.387,691.0884,pilot01,3314062,-1,-1,-1,-1,-1,-1,0,0,-1,-1,0,0,0,0,0,0,32.06646729,2.606872559,-35.81773376,-27.70426941,1.422363281,-30.82124329, VikingFresh,FALSE
0:5/8/2021 22:11:21.472,691.1734,pilot01,3314146,-1,-1,-1,-1,-1,-1,0.46203208,0.292952508,-1,-1,0,0,0,0,0,0,32.39266968,1.957931519,-33.59666443,-27.66142273,2.071334839,-33.12464905, VikingFresh,FALSE
0:5/8/2021 22:11:21.510,691.212,pilot01,3314179,-1,-1,-1,-1,-1,-1,0.632057488,0.511371851,-1,-1,0,0,0,0,0,0,32.36213684,1.849258423,-33.34585571,-27.55566406,2.032302856,-32.44714355, VikingFresh,FALSE
0:5/8/2021 22:11:21.543,691.2449,pilot01,3314179,-1,-1,-1,-1,-1,-1,0.632057488,0.511371851,-1,-1,0,0,0,0,0,0,32.36213684,1.849258423,-33.34585571,-27.55566406,2.032302856,-32.44714355, VikingFresh,FALSE
0:5/8/2021 22:11:21.572,691.2734,pilot01,3314187,-1,-1,-1,-1,-1,-1,0.632057488,0.511371851,-1,-1,0,0,0,0,0,0,32.38163757,1.747024536,-32.98522949,-27.50872803,0.791152954,-27.62631226, VikingFresh,FALSE
0:5/8/2021 22:11:21.604,691.3054,pilot01,3314187,-1,-1,-1,-1,-1,-1,0.632057488,0.511371851,-1,-1,0,0,0,0,0,0,32.38163757,1.747024536,-32.98522949,-27.50872803,0.791152954,-27.62631226, VikingFresh,FALSE
0:5/8/2021 22:11:21.645,691.3464,pilot01,3314196,-1,-1,-1,-1,-1,-1,0.684337437,0.5816921,-1,-1,0,0,0,0,0,0,32.38299561,1.805801392,-33.25389099,-27.58630371,1.29548645,-30.02197266, VikingFresh,FALSE
0:5/8/2021 22:11:21.680,691.3814,pilot01,3314296,-1,-1,-1,-1,-1,-1,0.823062897,0.765033603,-1,-1,0,0,0,0,0,0,32.34751892,1.312210083,-30.13122559,-27.47753906,0.703536987,-27.14768982, VikingFresh,FALSE
0:5/8/2021 22:11:21.713,691.4144,pilot01,3314379,-1,-1,-1,-1,-1,-1,0.535230517,0.484977692,-1,-1,0,0,0,0,0,0,32.36224365,1.876754761,-33.31626892,-27.67298889,1.388687134,-30.27816772, VikingFresh,FALSE
0:5/8/2021 22:11:21.742,691.4434,pilot01,3314379,-1,-1,-1,-1,-1,-1,0.535230517,0.484977692,-1,-1,0,0,0,0,0,0,32.36224365,1.876754761,-33.31626892,-27.67298889,1.388687134,-30.27816772, VikingFresh,FALSE
0:5/8/2021 22:11:21.791,691.4924,pilot01,3314454,0.012939453,-0.101654053,0.994720459,-26.75508118,1.354980469,-30.26101685,0.791874826,0.766553521,4.092926025,4.735656738,-0.022277832,-0.099517822,0.994781494,0.013458252,-0.10168457,0.994720459,32.352005,1.781387329,-33.10385132,-27.63755798,1.348617554,-30.21856689, VikingFresh,FALSE
0:5/8/2021 22:11:21.823,691.5244,pilot01,3314496,0.011749268,-0.094558716,0.995437622,-26.8119812,1.331222534,-30.22225952,0.812403262,0.77739352,4.048141479,4.630310059,-0.02192688,-0.100448608,0.994689941,0.01222229,-0.094467163,0.995437622,32.34516907,1.768310547,-33.08694458,-27.64555359,1.325057983,-30.18188477, VikingFresh,FALSE
0:5/8/2021 22:11:21.852,691.5534,pilot01,3314521,0.008117676,-0.090209961,0.995880127,-27.63879395,1.309066772,-30.14520264,0.847246706,0.802637339,4.076370239,4.567733765,-0.019683838,-0.111694336,0.993545532,0.008117676,-0.090209961,0.995880127,32.32618713,1.421386719,-31.61083984,-27.63879395,1.309066772,-30.14520264, VikingFresh,FALSE
0:5/8/2021 22:11:21.888,691.5894,pilot01,3314562,0.003189087,-0.083023071,0.996536255,-27.63674927,1.284011841,-30.04960632,0.84918499,0.836982012,3.792984009,4.462875366,-0.019073486,-0.099655151,0.994827271,0.003189087,-0.083023071,0.996536255,32.31243896,1.420471191,-31.57653809,-27.63682556,1.284011841,-30.04960632, VikingFresh,FALSE
0:5/8/2021 22:11:21.914,691.6159,pilot01,3314587,-0.00302124,-0.086898804,0.996200562,-22.6126709,1.305740356,-30.21760559,0.872426093,0.848255515,3.75428772,4.291488647,-0.019546509,-0.089187622,0.995819092,-0.00151062,-0.086700439,0.996231079,32.31230164,1.586349487,-32.30885315,-27.63380432,1.280075073,-30.02642822, VikingFresh,FALSE
0:5/8/2021 22:11:21.941,691.6429,pilot01,3314612,-0.004745483,-0.088348389,0.996063232,-27.63090515,1.279708862,-30.02305603,0.891887784,0.852566183,3.504776001,4.215652466,-0.026062012,-0.077713013,0.996627808,-0.004745483,-0.088348389,0.996063232,32.31245422,1.709915161,-32.83161926,-27.63092041,1.279708862,-30.02305603, VikingFresh,FALSE
0:5/8/2021 22:11:21.967,691.6685,pilot01,3314637,-0.00831604,-0.090499878,0.995849609,-27.62966919,1.282012939,-30.02305603,0.9058339,0.864624441,3.505554199,4.045959473,-0.022827148,-0.078613281,0.996643066,-0.00831604,-0.090499878,0.995849609,32.31323242,1.698944092,-32.79112244,-27.62969971,1.282012939,-30.02305603, VikingFresh,FALSE
0:5/8/2021 22:11:21.991,691.6924,pilot01,3314662,-0.012527466,-0.094161987,0.99546814,-21.23838806,1.322219849,-30.30076599,0.918720126,0.884527445,3.506668091,3.998275757,-0.021453857,-0.078018188,0.99671936,-0.011459351,-0.096084595,0.995300293,32.31401062,1.675735474,-32.70796204,-27.62068176,1.280075073,-30.0138855, VikingFresh,FALSE
0:5/8/2021 22:11:22.020,691.7219,pilot01,3314695,-0.015975952,-0.094390869,0.995391846,-7.627822876,1.400802612,-30.87080383,0.946157753,0.909038365,3.384613037,3.849914551,-0.022399902,-0.079589844,0.996566772,-0.012756348,-0.101791382,0.994720459,32.31338501,1.652679443,-32.6550293,-27.61906433,1.274749756,-29.97776794, VikingFresh,FALSE
0:5/8/2021 22:11:22.051,691.7532,pilot01,3314720,-0.017944336,-0.091247559,0.995651245,-3.67616272,1.399185181,-31.01669312,0.967436314,0.932211876,3.382110596,3.817932129,-0.022460938,-0.07774353,0.99671936,-0.014938354,-0.100219727,0.994842529,32.3127594,1.620880127,-32.59214783,-27.61172485,1.251739502,-29.96888733, VikingFresh,FALSE
0:5/8/2021 22:11:22.091,691.7926,pilot01,3314762,-0.018127441,-0.092697144,0.995513916,2.429382324,1.426528931,-31.25398254,0.981285155,0.940991759,3.278320313,3.722396851,-0.021743774,-0.084457397,0.996185303,-0.014511108,-0.100982666,0.994781494,32.30865479,1.620697021,-32.58514404,-27.61172485,1.231307983,-29.91560364, VikingFresh,FALSE
0:5/8/2021 22:11:22.121,691.8226,pilot01,3314795,-0.019302368,-0.092453003,0.995513916,5.901977539,1.44468689,-31.39241028,0.994806886,0.976387382,3.24798584,3.634719849,-0.023681641,-0.08531189,0.996063232,-0.013717651,-0.101516724,0.994735718,32.30560303,1.617477417,-32.57971191,-27.60945129,1.225387573,-29.88549805, VikingFresh,FALSE
0:5/8/2021 22:11:22.155,691.8566,pilot01,3314829,-0.019577026,-0.095962524,0.995178223,3.788665771,1.419143677,-31.26257324,1,1,3.213699341,3.548446655,-0.023376465,-0.09072876,0.99559021,-0.015411377,-0.101715088,0.994689941,32.30560303,1.607757568,-32.55377197,-27.60340881,1.211502075,-29.84118652, VikingFresh,FALSE
0:5/8/2021 22:11:22.187,691.8885,pilot01,3314862,-0.017166138,-0.096511841,0.995178223,-19.15019226,1.241424561,-30.16921997,1,1,3.136825562,3.521759033,-0.025253296,-0.086547852,0.995925903,-0.015823364,-0.09815979,0.995040894,32.31181335,1.522003174,-32.35177612,-27.60340881,1.195343018,-29.81071472, VikingFresh,FALSE
0:5/8/2021 22:11:22.218,691.9196,pilot01,3314887,-0.021682739,-0.096466064,0.99508667,-16.45916748,1.25050354,-30.28335571,1,1,3.115631104,3.479049683,-0.025680542,-0.086700439,0.995895386,-0.020782471,-0.098693848,0.994888306,32.31181335,1.522003174,-32.35177612,-27.60340881,1.188461304,-29.81071472, VikingFresh,FALSE
0:5/8/2021 22:11:22.256,691.9576,pilot01,3314929,-0.022918701,-0.09286499,0.995407104,0.276260376,1.352020264,-31.03134155,1,1,3.056381226,3.371749878,-0.024215698,-0.087921143,0.995819092,-0.021774292,-0.09715271,0.995025635,32.3026123,1.539886475,-32.42288208,-27.6078949,1.188461304,-29.81977844, VikingFresh,FALSE
